TCP,ESTC,text_name,Title,Title 30 Char or fewer,Author,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Verse/Prose/Mixed,Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Status,Notes
K041283.000,T42117,K041283.000.txt,"Of stage tyrants. An epistle to the Right Honourable Philip Earl of Chesterfield. Occasion'd by the Honest Yorkshire-man being rejected at Drury-Lane Play-house, and since acted at other theatres with universal applause. By Mr. Carey:",OfStageTyrants,"Berkeley, George, 1685-1753.",8�,,1735,Dublin :,"printed by M. Rhames, for R. Gunne,",verse,NI,NARR,Free,
K041537.000,T42571,K041537.000.txt,"A poem upon the death of her late sacred majesty Queen Anne, and the most happy and most auspicious accession of his sacred majesty King George. To the imperial crowns of Great Britain, France and Ireland. ... By Mr. Dennis:",PoemOnDeathOfQueenAnne,"Dennis, John, 1657-1734.",8�,,1714,London :,"printed by H. Meere, and sold by J. Baker,",verse,,,Free,
K041590.000,T42636,K041590.000.txt,Poems on several occasions: By Henry Jones.,PoemsSeveralOccasionsJones,"Jones, Henry, 1721-1770.",8�,,1749,London :,"printed for, and sold by J. River,",verse,,,Free,
K041597.000,T42644,K041597.000.txt,"Poems on several occasions: By N. Rowe, Esq;.",PoemsOnSeveralOccasionsRowe,"Rowe, Nicholas, 1674-1718.",4�,,1714,London :,"printed for E. Curll,",verse,,,Free,
K041691.000,T42751,K041691.000.txt,Spring. A poem: By Mr. Thomson.,SpringAPoemByThomson,"Thomson, James, 1700-1748.",8�,,1728,London :,"printed: and sold by A. Millar; and G. Strahan,",verse,,,Free,
K042020.000,T43462,K042020.000.txt,"Oroonoko: or the royal slave. A tragedy. Altered from Southerne, by Francis Gentleman. ...",OroonokoTheRoyalSlaveTragedy,"Gentleman, Francis, 1728-1784.",8�,,1760,Glasgow :,"printed by Robert and Andrew Foulis,",verse,NI,NARR,Free,
K042183.000,T43742,K042183.000.txt,"Passive obedience: or, the Christian doctrine of not resisting the supreme power, proved and vindicated ... In a discourse deliver'd at the College-chapel. By George Berkeley, M.A. Fellow of Trinity-College, Dublin.",PassiveObedienceADiscourse,"Berkeley, George, 1685-1753.",8�,,1712,London :,"printed for H. Clements,",prose,,,Free,
K043015.000,T45136,K043015.000.txt,The rivals: a comedy. As it is acted at the Theatre-Royal in Covent-Garden.,TheRivalsComedy,"Sheridan, Richard Brinsley, 1751-1816.",8�,,1775,London :,"printed for John Wilkie,",prose,NI,NARR,Free,
K043092.000,T45281,K043092.000.txt,"The royal garland, a new occasional interlude, in honour of his Danish Majesty: Set to music by Mr. Arnold, and performed at the Theatre Royal, Covent-Garden.",RoyalGarlandInterlude,"Bickerstaff, Isaac, 1735-1812.",8�,,1768,London :,"printed for T. Becket and P. A. de Hondt,",verse,NI,NARR,Free,
K043587.000,T46118,K043587.000.txt,"Pudding and dumpling burnt to pot. Or, a compleat key to the dissertation on dumpling. Wherein all the mystery of that dark treatise is brought to light; in such a manner and method, that the meanest capacity may know who and who's together. Published for",KeyToDissertationOnDumpling,"Carey, Henry, 1687?-1743.",8�,,1727,London :,"printed and sold by A. Dodd, and H. Whitridge,",prose,,,Free,
K043640.000,T46205,K043640.000.txt,"The querist: containing several queries, proposed to the consideration of the public.|Querist.",QueristForPublicConsideration,"Berkeley, George, 1685-1753.",8�,,1735,Dublin :,"printed by R. Reilly, for G. Risk, G. Ewing, and W. Smith,",prose,,,Free,
K043839.000,T46518,K043839.000.txt,The recruiting serjeant: a musical entertainment as it is perform'd at the Theatre-Royal in Drury-Lane.,RecruitingSargentOpera,"Bickerstaff, Isaac, 1735-1812.",8�,,1770,London :,"printed for William Griffin,",verse,NI,NARR,Free,
K044025.000,T46778,K044025.000.txt,"Remarks on Mr. Pope's Rape of the lock. In several letters to a friend. With a preface, occasion'd by the late Treatise on the profound, and the Dunciad. By Mr. Dennis:",RemarksOnRapeOfTheLock,"Dennis, John, 1657-1734.",8�,,1728,London :,"printed for J. Roberts,",mixed,,,Free,
K044298.000,T47205,K044298.000.txt,"A Scotsman's remarks on the farce of Love a la mode, scene by scene.:",ScotsmansRemarksOnLoveALaMode,"Macklin, Charles, 1697?-1797.",8�,,1760,London :,"printed for J. Burd,",prose,EX?,ARG,Free,
K044434.000,T47416,K044434.000.txt,Seduction: a comedy: As it is performed at the Theatre-Royal in Drury-Lane. By Thomas Holcroft.,SeductionComedy,"Holcroft, Thomas, 1745-1809.",8�,,1787,London :,"printed for G.G.J. and J. Robinson,",prose,NI,NARR,Free,
K044519.000,T47533,K044519.000.txt,"A sermon preached at Chart Sutton, Kent, the third of November, 1782: at the opening of the new church; ... To which are annexed, a list of the subscribers, and an account of the money received by the brief towards rebuilding the said church.",ChartSuttonKentSermon,"Jones, Henry, fl. 1782.",4�,,1782,[Chatham?] :,"Printed for the author; sold by Webster Gillman, Chatham; Simmons and Kirkby, Canterbury; and by Thomas Evans, London,",prose,IR,INST,Free,
K044551.000,T47580,K044551.000.txt,"A sermon preached at the Assizes at Durham July 29th, 1795; ... By William Paley,:",DurhamAssizesSermon,"Paley, William, 1743-1805.",4�,,1795,London :,"printed for R. Faulder,",prose,IR,INST,Free,
K044692.000,T47748,K044692.000.txt,"A sermon preached before the Incorporated Society for the Propagation of the Gospel in Foreign Parts: at their anniversary meeting in the parish-church of St Mary-le-Bow, on Friday, February 18. 1731. By George Berkeley, ...",SermonAtStMaryLeBow18Feb1731,"Berkeley, George, 1685-1753.",4�,,1732,London :,"printed by J. Downing,",prose,IR,INST,Free,
K045218.000,T48555,K045218.000.txt,"The stage defended, from Scripture, reason, experience, and the common sense of mankind, for two thousand years. Occasion'd by Mr. Law's late pamphlet against stage-entertainments. In a letter to ****** By Mr. Dennis:",StageDefendedAgainstMrLaw,"Dennis, John, 1657-1734.",4�,,1726,London :,"printed for N. Blandford; and sold by J. Peele,",prose,,,Free,
K045363.000,T48828,K045363.000.txt,"The sultan, or a peep into the seraglio: A farce, in two acts. By Isaac Bickerstaffe. Acted at the Theatres Royal in Drury-Lane and Covent-Garden.",SultanAPeepIntoSeraglioFarce,"Bickerstaff, Isaac, 1735-1812.",8�,,1787,[London] :,"Printed for C. Dilly,",prose,NI,NARR,Free,
K045920.000,T49633,K045920.000.txt,"A speech of Edmund Burke, Esq. at the Guildhall, in Bristol: previous to the late election in that city, upon certain points relative to his parliamentary conduct.",BurkeBristolGuildhallSpeech,"Burke, Edmund, 1729-1797.",8�,,1780,London :,"printed for J. Dodsley,",prose,STA,ARG,Free,
K046052.000,T49863,K046052.000.txt,"Tancred and Sigismunda. A tragedy: As it is acted at the Theatre-Royal in Drury-Lane, by His Majesty's servants. By James Thomson.",TancredSigismundaTragedy,"Thomson, James, 1700-1748.",8�,,1745,London :,"printed for A. Millar,",verse,NI,NARR,Free,
K046076.000,T49906,K046076.000.txt,"The tears of the muses; in a conference between prince Germanicus, and a male-content party:|Tears of the muses",TearsOfMusesConference,"Hill, Aaron, 1685-1750.",4�,,1737,London :,"printed for T. Ward,",verse,NI,NARR,Free,
K046497.000,T50718,K046497.000.txt,"Verses to His Grace the Duke of Newcastle, on the death of the Right Honourable Henry Pelham: By Henry Jones, ...",VersesToDukeOfNewcastle,"Jones, Henry, 1721-1770.",4�,,1754,London :,"Printed for R. and J. Dodsley; and sold by M. Cooper,",verse,NN,DESC,Free,
K046707.000,T51118,K046707.000.txt,"To her Royal Highness the Princess of Wales, with the tragedy of Cato. Nov. 1714. To Sir Godfrey Kneller, on his picture of the King:",ToPrincessOfWalesWithCato,"Addison, Joseph, 1672-1719.",2�,,1715,London :,"printed for J. Tonson,",verse,,,Free,
K046839.000,T51487,K046839.000.txt,The town. A satire. By W. Kenrick:,TheTownASatire,"Kenrick, W. (William), 1725?-1779.",4�,,1748,London :,"printed for R. Griffiths,",verse,NI,NARR,Free,
K047007.000,T51747,K047007.000.txt,"The triumph of Isis: a poem. Occasioned by Isis, an elegy.",TriumphOfIsisPoem,"Warton, Thomas, 1728-1790.",4�,,1749,London :,"printed for W. Owen,",verse,NI,NARR,Free,
K047221.000,T52092,K047221.000.txt,Two letters from Mr. Burke to gentlemen in the city of Bristol: on the bills depending in parliament relative to the trade of Ireland.,LettersBurkeToBristol,"Burke, Edmund, 1729-1797.",8�,,1778,London :,"printed for J. Dodsley,",prose,STA,ARG,Free,
K047225.000,T52097,K047225.000.txt,"Two letters on the conduct of our domestick parties, with regard to French politicks: including ""Observations on the conduct of the minority, in the session of M.DCC.XCIII."" By the late Right Hon. Edmund Burke.",LettersOnFrenchPolitics,"Burke, Edmund, 1729-1797.",8�,,1797,London :,"printed for F. and C. Rivington; sold also by J. Hatchard,",prose,NN,ARG,Free,
K047435.000,T52491,K047435.000.txt,"The widow's vow: A farce, in two acts, as it is acted at the Theatre Royal, Hay-market.",WidowsVowFarce,"Inchbald, Mrs., 1753-1821.",8�,,1786,London :,"printed for G. G. J. and J. Robinson,",prose,NI,NARR,Free,
K047694.000,T52943,K047694.000.txt,"Sejanus, a tragedy: As it was intended for the stage. With a preface, wherein the manager's reasons for refusing it are set forth. By Mr. Gentleman.",SejanusTragedy,"Gentleman, Francis, 1728-1784.",8�,,1752,London :,"printed for R. Manby and H.S. Cox,",verse,NI,NARR,Free,
K047748.000,T53006,K047748.000.txt,An account of the great and generous actions of James Butler: (late Duke of Ormond.) Dedicated to the famous University of Oxford.,AccountOfGreatJamesButler,"Defoe, Daniel, 1661?-1731.",8�,,1715,London :,"printed for J. Moore,",prose,,,Free,
K048101.000,T53475,K048101.000.txt,"A satirical dialogue between a sea captain and his friend in town: humbly address'd to the gentlemen who deform'd the play of Othello, on th--rs--y, M---- the 7th, 1750, at the Th-tre R-y-l, in Dr-y L-ne: to which is added, a prologue and epilogue, much m",SatiricDialogueSeaCaptain,"Kenrick, W. (William), 1725?-1779.",2�,,1751,London :,"printed for, and sold by J. River,",verse,NI,ARG,Free,
K048130.000,T53504,K048130.000.txt,"Sprigs of laurel: a comic opera. In two acts. As performed, with universal applause, at the Theatre-Royal, Covent-Garden. Written by John O'Keeffee [sic], ...",SprigsOfLaurelComicOpera,"O'Keeffe, John, 1747-1833.",8�,,1793,London :,"printed by H. S. Woodfall, for T. N. Longman,",mixed,NI,NARR,Free,
K048139.000,T53513,K048139.000.txt,"Wild oats: or, the strolling gentlemen. A comedy, in five acts, as performed at the Theatre Royal, Covent-Garden. By John O'Keefe, Esq.",WildOatsComedy,"O'Keeffe, John, 1747-1833.",12�,,1791,Dublin :,"printed for the booksellers,",prose,NI,NARR,Free,
K048221.000,T53655,K048221.000.txt,"Tony Lumpkin in town: a farce. As performed at the Theatre-Royal in the Hay-Market. By J. Keeffe, ...",TonyLumpkinInTownFarce,"O'Keeffe, John, 1747-1833.",8�,,1780,London :,"printed for T. Cadell,",prose,NI,NARR,Free,
K048292.000,T53733,K048292.000.txt,The flitch of bacon; a comic opera: in two acts: as it is performed at the Theatre-Royal in the Hay-Market. By the Rev. Hen. Bate.,FlitchOfBaconComicOpera,"Dudley, H. Bate, Sir (Henry Bate), 1745-1824.",8�,,1779,London :,"printed for T. Evans,",mixed,NI,NARR,Free,
K048676.000,T54251,K048676.000.txt,The pleasures of imagination: A poem. In three books.,PleasuresOfImaginationPoem,"Akenside, Mark, 1721-1770.",4�,,1744,London :,"printed for R. Dodsley,",verse,NN,DESC,Free,
K048852.000,T54550,K048852.000.txt,"The wrath of man praising God: A sermon preached in the High Church of Edinburgh, May 18th, 1746. before His Grace the Lord High Commissioner to the General Assembly of the Church of Scotland. By Hugh Blair, ...",WrathManPraisingGodSermon,"Blair, Hugh, 1718-1800.",8�,,1746,Edinburgh :,"printed by R. Fleming: for A. Kincaid,",prose,IR,INST,Free,
K049181.000,T55125,K049181.000.txt,Poems by Mr. Gray:,PoemsMrGray,"Gray, Thomas, 1716-1771.",8�,,1768,London :,"printed for J. Dodsley,",verse,NN,DESC,Free,
K049221.002,T55179,K049221.002.txt,Select Scotish ballads.:,SelectScottishBallads,"Pinkerton, John, 1758-1826.",8�,,1783,London :,"printed by and for J. Nichols,",verse,NI,NARR,Free,
K049357.002,T55366,K049357.002.txt,The adventures of Roderick Random: In two volumes. ...|Adventures of Roderick Random,RoderickRandomV2,"Smollett, Tobias George, 1721-1771.",12�,,1748,London :,"printed for J. Osborn,",prose,NI,NARR,Free,
K049442.000,T55493,K049442.000.txt,The fifteen comforts of a Scotch-man. Written by Daniel D'Foe in Scotland:,15ComfortsOfScotchMan,"Defoe, Daniel, 1661?-1731.",8�,,1707,London :,"prinred [sic] in the year,",verse,,,Free,
K050110.000,T56630,K050110.000.txt,"The characters and conduct of Sir John Edgar: and his three deputy-governours. During the adminstration of the late separate ministry. In a third and fourth letter to the Knight. With a picture of Sir John, drawn by a pen, exactly after the life.",CharacterOfSirJohnEdgar,"Dennis, John, 1657-1734.",8�,,1720,London :,"printed and sold by J. Roberts,",prose,,,Free,
K050119.000,T56640,K050119.000.txt,"The way to get married: a comedy, in five acts, as performed at the Theatre-Royal, Covent-Garden. By Thomas Morton, ...",WayToGetMarriedComedy,"Morton, Thomas, 1764-1838.",8�,,1796,London :,"printed for T. N. Longman,",prose,NI,NARR,Free,
K050264.000,T56858,K050264.000.txt,"An answer to a question that no body thinks of, viz. But what if the Queen should die?:",WhatIfTheQueenShouldDie,"Defoe, Daniel, 1661?-1731.",8�,,1713,London :,"printed for J. Baker,",prose,,,Free,
K050270.000,T56868,K050270.000.txt,"A brief state of the inland or home trade, of England: and of the oppressions it suffers, and the dangers which threaten it from the invasion of hawkers, pedlars, and clandestine traders of all sorts. Humbly represented to the present Parliament.",OppressionsOfEnglandsTrade,"Defoe, Daniel, 1661?-1731.",8�,,1730,London :,"printed for Tho. Warner,",prose,,,Free,
K050278.000,T56879,K050278.000.txt,Considerations on publick credit. In a letter to a Member of Parliament:,ConsiderationsPublicCredit,"Defoe, Daniel, attributed name. 1661?-1731,",8�,,1724,,London :,prose,,,Free,
K050279.000,T56881,K050279.000.txt,"Considerations upon the eighth and ninth articles of the treaty of commerce and navigation, now publish'd by authority. With some enquiries into the damages that may accrue to the English trade from them:",ConsiderationOfCommerceTreaty,"Defoe, Daniel, 1661?-1731.",8�,,1713,London :,"printed for J. Baker,",prose,,,Free,
K050281.000,T56883,K050281.000.txt,"The danger of court differences: or, the unhappy effects of a motley ministry: occasion'd by the report of changes at court:",DangerOfCourtDifferences,"Defoe, Daniel, 1661?-1731.",8�,,1717,London :,"printed and sold by J. Baker, and T. Warner,",prose,,,Free,
K050351.000,T56977,K050351.000.txt,"Some considerations on the reasonableness and necessity of encreasing and encouraging the seamen. Founded on the gracious expressions, in their favour, contained in His Majesty's speech from the throne.:",NecessityOfIncreasingSeamen,"Defoe, Daniel, 1661?-1731.",8�,,1728,London :,"printed: and sold by J. Roberts,",prose,,,Free,
K051001.000,T57982,K051001.000.txt,"The dragon of Wantley: A burlesque opera. The musick by Mr. John Frederick Lampe, and performed at the Theatre-Royal in Covent-Garden. Moderniz'd from the old ballad after the Italian manner, by Sig. Carini.",DragonOfWantleyBurlesque,"Carey, Henry, 1687?-1743.",8�,,1737,London :,"printed for J. Shuckburgh,",verse,NI,NARR,Free,
K051011.000,T57992,K051011.000.txt,"The tragedy of Chrononhotonthologos: being the most tragical tragedy, that ever was tragediz'd by any company of tragedians. Written by Benjamin Bounce, Esq;.|Chrononhotonthologos",TragedyOfChrononhotonthologos,"Carey, Henry, 1687?-1743.",8�,,1734,London :,"printed for J. Shuckburgh, and L. Gilliver, J. Jackson; and sold by A. Dodd, and E. Nutt,",verse,NI,NARR,Free,
K051036.000,T58019,K051036.000.txt,"An essay of health and long life: By George Cheyne, ...",EssayOfHealthLongLife,"Cheyne, George, 1673-1743.",8�,,1724,,London :,prose,,,Free,
K051638.001,T58992,K051638.001.txt,"Clarissa: Or, the history of a young lady: comprehending the most important concerns of private life. ... Published by the editor of Pamela. ...",ClarissaV1,"Richardson, Samuel, 1689-1761.",12�,,1748,London :,"printed for S. Richardson: and sold by A. Millar: J. and Ja. Rivington: John Osborn; and by J. Leake, at Bath,",prose,NI,NARR,Free,
K051639.008,T58993,K051639.008.txt,"Letters and passages restored from the original manuscripts of the history of Clarissa. To which is subjoined, a collection of such of the moral and instructive sentiments, ... as are presumed to be of general use ... Published for the sake of doing justi",ClarrissaV8,"Richardson, Samuel, 1689-1761.",12�,,1751,London :,"printed for S. Richardson: and sold by John Osborn; by Andrew Millar; by J. and J. Rivington; and by J. Leeke, at Bath,",prose,NI,NARR,Free,
K052119.000,T59600,K052119.000.txt,"The she gallant: or, square-toes outwitted: A new comedy of two acts. As now performing, with great applause, at the Theatre in Smock-Alley, Dublin.",SheGallantComedy,"O'Keeffe, John, 1747-1833.",8�,,1767,London :,"printed for T. Lowndes, and J. Williams,",prose,NI,NARR,Free,
K052227.003,T59731,K052227.003.txt,The Iliad: of Homer. Translated by Mr. Pope.|Iliad. English,PopesIliad,"Homer.|Pope, Alexander, 1688-1744.",,,1715,London :,"printed by W. Bowyer, for Bernard Lintott,",mixed,,,Free,
K053061.001,T60939,K053061.001.txt,Charles and Charlotte: In two volumes.,CharlesCharlotteV1,"Pratt, Mr. (Samuel Jackson), 1749-1814.",8�,,1777,London :,"printed for William Lane,",prose,NI,NARR,Free,
K053061.002,T60939,K053061.002.txt,Charles and Charlotte: In two volumes.,CharlesCharlotteV2,"Pratt, Mr. (Samuel Jackson), 1749-1814.",8�,,1777,London :,"printed for William Lane,",prose,NI,NARR,Free,
K054688.000,T63198,K054688.000.txt,"The castle of Otranto: a story. Translated by William Marshal, Gent. from the original Italian of Onuphrio Muralto, ...",CastleOfOtranto,"Walpole, Horace, 1717-1797.",8�,,1764,London :,"printed for Tho. Lownds,",prose,NI,NARR,Free,
K056178.001,T65262,K056178.001.txt,The history of Lady Julia Mandeville: In two volumes. By the translator of Lady Catesby's letters.,HistoryLadyJuliaMadeville,"Brooke, Frances, 1724?-1789.",12�,,1763,London :,"printed for R. and J. Dodsley,",prose,NI,NARR,Free,
K056324.001,T65487,K056324.001.txt,"The history of Great Britain, from the Restoration, to the accession of the house of Hannover: By James Macpherson, in two volumes. ...",HistoryGreatBritainMacpherson,"Macpherson, James, 1736-1796.",8�,,1775,Dublin :,"printed for J. Exshaw, D. Chamberlain, J. Potts, W. Sleater, J. Williams [and 5 others in Dublin],",prose,NN,NARR,Free,
K057134.000,T66512,K057134.000.txt,"Essays on the following subjects: I. On the reality and evidence of miracles, ... Written some years since, ... By an obscure layman in town::",EssaysOnEvidenceOfMiracles,"Psalmanazar, George, 1679?-1763.",8�,,1753,London :,"printed for A. Millar,",prose,IR,INST,Free,
K057370.000,T66779,K057370.000.txt,Conscience: an ethical essay. By the Reverend J. Brand:,ConscienceEthicalEssay,"Brand, John, d. 1808.",4�,,1773,London :,"printed for T. Becket; W. Woodyer, at Cambridge; and W. Chace, at Norwich,",verse,NN,ARG,Free,
K057530.004,T66947,K057530.004.txt,The adventures of Hugh Trevor: By Thomas Holcroft. ...,AdventuresOfHughTrevor,"Holcroft, Thomas, 1745-1809.",12�,,1794,London :,"printed for Shepperson and Reynolds,",prose,NI,NARR,Free,
K057665.001,T67127,K057665.001.txt,Historical law-tracts.:,HIstoricalLawTracts,"Kames, Henry Home, Lord, 1696-1782.",8�,,1758,Edinburgh :,"printed for A. Millar, London; and A. Kincaid, and J. Bell, Edinburgh,",prose,STA,STA,Free,
K057726.000,T67196,K057726.000.txt,"Robin Hood; or, Sherwood Forest: a comic opera: As it is performed at the Theatre-Royal, in Covent-Garden. By Leonard Mac Nally, Esq.",RobinHoodComicOpera,"MacNally, Leonard, 1752-1820.",8�,,1784,London :,"printed by J. Almon,",mixed,NI,NARR,Free,
K058248.000,T68023,K058248.000.txt,"The court of Alexander: An opera, in two acts. As it is performed at the Theatre Royal in Covent-Garden.",CourtOfAlexanderOpera,"Stevens, George Alexander, 1710-1784.",8�,,1770,London :,"printed for T. Waller,",verse,NI,NARR,Free,
K058249.000,T68024,K058249.000.txt,"The French flogged, or, the British sailors in America, a farce of two acts, as it was performed at the Theatre Royal, Covent-Garden:",FrenchFloggedFarce,"Stevens, George Alexander, 1710-1784.",8�,,1767,London :,"printed for J. Williams,",mixed,NI,NARR,Free,
K058430.000,T68299,K058430.000.txt,"A narrative of the life of Mrs. Charlotte Charke: (youngest daughter of Colley Cibber, Esq;) ... written by herself.",LifeOfCharlotteCharke,"Charke, Charlotte, 1713-1760.",12�,,1755,London :,"printed for W. Reeve; A. Dodd; E. Cook,",prose,NN,NARR,Free,
K058784.000,T68812,K058784.000.txt,Reasons for not replying to Mr. Walton's full answer in a letter to P.T.P. By the author of The minute philosopher:,ReasonsNotReplyingToMrWatson,"Berkeley, George, 1685-1753.",8�,,1735,London :,"printed for J. Tonson,",prose,EX,ARG,Free,
K059103.000,T69297,K059103.000.txt,"The mercer, or fatal extravagance: being a true narrative of the life of Mr. Wm. Dennis. Mercer, in Cheapside, London. ... Written by Mrs. Charke,:",MercerFatalExtravagance,"Charke, Charlotte, 1713-1760.",12�,,1755,London :,"Bailey, printer,",prose,NN,NARR,Free,
K059407.000,T69698,K059407.000.txt,The case fairly stated between the Turky Company and the Italian merchants: By a merchant.,TurkeyCompanyCaseFairlyStated,"Defoe, Daniel, 1661?-1731.",8�,,1720,London :,"printed in the year,",prose,,,Free,
K059580.002,T70026,K059580.002.txt,"Julia, a novel; interspersed with some poetical pieces. By Helen Maria Williams. In two volumes.:",JuliaNovelAndPoems,"Williams, Helen Maria, 1762-1827.",12�,,1790,London :,"printed for T. Cadell,",mixed,NI,NARR,Free,
K059868.000,T70421,K059868.000.txt,"Homer's Battle of the frogs and mice. With the remarks of Zoilus. To which is prefix'd, the life of the said Zoilus:",HomersBattleFrogsAndMice,Homer.,8�,,1717,London :,"printed for Bernard Lintot,",mixed,,,Free,
K060124.000,T70826,K060124.000.txt,"Hannibal at the gates: or, the progress of Jacobitism. With the present danger of the Pretender.",ProgressOfJacobitism,"Defoe, Daniel, attributed name. 1661?-1731,",8�,,1712,London :,"printed for J. Baker,",prose,,,Free,
K060142.002,T70851,K060142.002.txt,"A tour thro' the whole island of Great Britain: Divided into circuits or journeys. Giving a particular and entertaining account of whatever is curious, and worth observation; ... By a gentleman. ...",TourThroWholeIslandV2,"Defoe, Daniel, 1661?-1731.",12�,,1742,London :,"printed for J. Osborn, S. Birt, D. Browne, J. Hodges, A. Millar, J. Whiston, and J. Robinson,",prose,NN,DESC,Free,
K060142.003,T70851,K060142.003.txt,"A tour thro' the whole island of Great Britain: Divided into circuits or journeys. Giving a particular and entertaining account of whatever is curious, and worth observation; ... By a gentleman. ...",TourThroWholeIslandV3,"Defoe, Daniel, 1661?-1731.",12�,,1742,London :,"printed for J. Osborn, S. Birt, D. Browne, J. Hodges, A. Millar, J. Whiston, and J. Robinson,",prose,NN,DESC,Free,
K060329.000,T71093,K060329.000.txt,An essay on the genius and writings of Shakespear: with some letters of criticism to The spectator. By Mr. Dennis:,EssayOnGeniusOfShakespeare,"Dennis, John, 1657-1734.",8�,,1712,London :,"printed for Bernard Lintott,",prose,,,Free,
K060857.000,T71789,K060857.000.txt,"The harlot's progress; or, the ridotto al'fresco: a grotesque pantomime entertainment. As it is perform'd by his Majesty's Company of comedians at the Theatre-Royal in Drury-Lane. Compos'd by Mr. Theophilus Cibber, ... The songs made (to old ballad tunes)",HarlotsProgressPantomime,"Cibber, Theophilus, 1703-1758.",4�,,1733,[London] :,"printed for the benefit of Richard Cross the prompter; and sold at the theatre,",verse,NI,NARR,Free,
K060946.002,T71886,K060946.002.txt,"The female Quixote: or, the adventures of Arabella. In two volumes. ...",FemaleQuixote,"Lennox, Charlotte, ca. 1729-1804.",12�,,1752,London :,"printed for A. Millar,",prose,NI,NARR,Free,
K060958.002,T71899,K060958.002.txt,"The voyages, travels and adventures, of William Owen Gwin Vaughan, Esq: With the history of his brother Jonathan Vaughan, six years a slave in Tunis. Intermix'd with the histories of Clerimont, Maria, Eleanora, and others. ...",VoyagesWilliamOwenGwinVaughan,"Chetwood, W. R. (William Rufus), d. 1766.",12�,,1736,London :,"printed for J. Watts: and sold by J. Osborn,",prose,NN,NARR,Free,
K061006.000,T71957,K061006.000.txt,The shortest-way with the dissenters: or proposals for the establishment of the church.,ShortestWayWithDissenters,"Defoe, Daniel, 1661?-1731.",4�,,1702,London :,"printed in the year,",prose,,,Free,
K061017.000,T71969,K061017.000.txt,"The Protestant monastery: or, a complaint against the brutality of the present age. Particularly the pertness and insolence of our youth to aged persons. ... Concluding with a proposal for erecting a Protestant monastery, where persons of small fortunes m",ProtestantMonastery,"Defoe, Daniel, 1661?-1731.",8�,,1726,London :,"printed for W. Meadows; and sold by J. Roberts; E. Nutt; A. Dodd; and N. Blanford,",prose,,,Free,
K061081.000,T72045,K061081.000.txt,"The voyages, dangerous adventures and imminent escapes: of Captain Richard Falconer: containing the laws, customs, and manners of the Indians in America; ... Intermix'd with the voyages and adventures of Thomas Randal, of Cork, pilot; ... Written by himse",VoyagesOfCaptainFalconer,"Chetwood, W. R. (William Rufus), d. 1766.",8�,,1720,London :,"printed for W. Chetwood; T. Jauncy; A. Bettesworth; J. Brotherton, W. Meadows; and J. Graves,",prose,,,Free,
K061206.002,T72179,K061206.002.txt,Henrietta: By the author of The female Quixote. In two volumes. ...,HenriettaTwoVolumes,"Lennox, Charlotte, ca. 1729-1804.",12�,,1758,London :,"printed for A. Millar,",prose,NI,NARR,Free,
K061659.000,T72829,K061659.000.txt,"An apology for the life of Mr. T......... C....., comedian: Being a proper sequel to the Apology for the life of Mr. Colley Cibber, ... Supposed to be written by himself. ...",ApologyLifeTheophilusCibber,"Cibber, Theophilus, 1703-1758.",8�,,1740,London :,"printed for J. Mechell,",prose,NN,NARR,Free,
K062069.000,T73480,K062069.000.txt,"The seditious insects: or, the levellers assembled in convocation. A poem:",SeditiousInsectsAPoem,,2�,,1708,London :,"printed, and sold by Benj. Bragg,",verse,,,Free,
K062108.001,T73522,K062108.001.txt,Euphemia. By Mrs. Charlotte Lennox. In four volumes.:,EuphemiaFourVolumes,"Lennox, Charlotte, ca. 1729-1804.",12�,,1790,London :,"printed for T. Cadell; and J. Evans,",prose,NI,NARR,Free,
K062221.000,T73645,K062221.000.txt,Yarico to Inkle: an epistle. By the author of the Elegy written among the ruins of an abbey.,YaricoToInkleEpistle,"Jerningham, Mr. (Edward), 1737?-1812.",4�,,1766,London :,"printed for J. Dodsley,",verse,NI,NARR,Free,
K062582.000,T74230,K062582.000.txt,"Mr. Congreve's last will and testament: with characters of his writings. By Mr. Dryden, Sir Richard Blackmore, Mr. Addison and Major Pack. To which are added, two pieces, viz. I. Of rightly improving the present time. ... II. The game of quadrille. An all",CongrevesLastWillTestament,"Congreve, William, 1670-1729.",8�,,1729,London :,"printed for E. Curll,",mixed,,,Free,
K062939.000,T74897,K062939.000.txt,The nun: an elegy: By the author of the Magdalens.,NunElegy,"Jerningham, Mr. (Edward), 1737?-1812.",4�,,1764,London :,"printed for R. and J. Dodsley,",verse,NI,NARR,Free,
K063225.000,T75303,K063225.000.txt,"An essay on the history of civil society: By Adam Ferguson, ...",HistoryOfCivilSocietyEssay,"Ferguson, Adam, 1723-1816.",8�,,1767,Dublin :,"printed by Boulter Grierson,",prose,EX,EX,Free,
K063274.000,T75355,K063274.000.txt,"A tour through Sweden, Swedish-Lapland, Finland and Denmark: In a series of letters, illustrated with engravings. By Matthew Consett, Esq.",TourThroughSwedenLetters,"Consett, Matthew.",4�,,1789,Stockton :,"printed by R. Christopher, for the author, 1789. And sold by W. Goldsmith; and T. Lewis, London,",prose,NN,NARR/DESC?,Free,
